provider;state;specialty;indicator_value
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.00
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.06
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.04
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN PEDIATRIA;6.86
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN PSIQUIATRIA;0.25
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;2.71
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN REUMATOLOGIA;1.54
CIRCULO CATOLICO;COLONIA;ESPECIALISTA EN UROLOGIA;0.14
CIRCULO CATOLICO;COLONIA;LICENCIADO EN FISIOTERAPIA;0.06
CIRCULO CATOLICO;COLONIA;LICENCIADO EN FONOAUDIOLOGIA;0.06
CIRCULO CATOLICO;COLONIA;LICENCIADO EN NUTRICION;1.91
CIRCULO CATOLICO;COLONIA;LICENCIADO EN PSICOLOGIA;1.24
CIRCULO CATOLICO;FLORIDA;DOCTOR EN MEDICINA;34.54
CIRCULO CATOLICO;FLORIDA;ESPECIALISTA EN CARDIOLOGIA;0.00
CIRCULO CATOLICO;FLORIDA;ESPECIALISTA EN CIRUGIA GENERAL;0.00
CIRCULO CATOLICO;FLORIDA;ESPECIALISTA EN DIABETOLOGIA;0.00
CIRCULO CATOLICO;FLORIDA;ESPECIALISTA EN GINECOTOCOLOGIA;0.13
CIRCULO CATOLICO;FLORIDA;ESPECIALISTA EN PEDIATRIA;0.00
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN CARDIOLOGIA;0.00
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN CIRUGIA GENERAL;0.00
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.00
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN DIABETOLOGIA;0.00
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN GINECOTOCOLOGIA;2.08
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN PEDIATRIA;0.00
CIRCULO CATOLICO;MALDONADO;ESPECIALISTA EN PSIQUIATRIA;0.00
CIRCULO CATOLICO;MALDONADO;LICENCIADO EN FISIOTERAPIA;0.00
CIRCULO CATOLICO;MALDONADO;LICENCIADO EN PSICOLOGIA;1.16
CIRCULO CATOLICO;MONTEVIDEO;DOCTOR EN MEDICINA;7.21
CIRCULO CATOLICO;MONTEVIDEO;DOCTOR EN ODONTOLOGIA;0.45
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN ALERGOLOGIA;0.00
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN ANESTESIOLOGIA;0.39
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN CARDIOLOGIA;0.60
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN CIRUGIA DE TORAX;0.30
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN CIRUGIA GENERAL;2.24
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;1.44
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.06
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.44
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.03
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN DIABETOLOGIA;0.00
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN ENDOCRINOLOGIA;0.08
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.00
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN FISIATRIA;0.03
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN GASTROENTEROLOGIA;0.13
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.18
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN GINECOTOCOLOGIA;1.83
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN HEMATOLOGIA;0.32
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTENSIVA;3.63
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;6.41
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTERNA;1.24
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEFROLOGIA;0.37
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEONATOLOGIA;43.50
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEUMOLOGIA;0.06
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEUMOLOGIA PEDIATRICA;0.02
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEUROCIRUGIA;0.31
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEUROLOGIA;0.47
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN NEUROPEDIATRIA;1.86
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN OFTALMOLOGIA;0.38
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.21
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;1.46
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.39
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN PEDIATRIA;13.51
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN PSIQUIATRIA;1.27
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;1.08
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN REUMATOLOGIA;0.05
CIRCULO CATOLICO;MONTEVIDEO;ESPECIALISTA EN UROLOGIA;0.53
CIRCULO CATOLICO;MONTEVIDEO;LICENCIADO EN FONOAUDIOLOGIA;0.01
CIRCULO CATOLICO;MONTEVIDEO;LICENCIADO EN NUTRICION;2.20
CIRCULO CATOLICO;MONTEVIDEO;LICENCIADO EN PSICOLOGIA;1.57
CIRCULO CATOLICO;MONTEVIDEO;LICENCIADO EN PSICOMOTRICIDAD;0.07
CIRCULO CATOLICO;MONTEVIDEO;LICENCIADO EN TRABAJO SOCIAL;0.00
CIRCULO CATOLICO;MONTEVIDEO;OBSTETRA PARTERA;2.60
CIRCULO CATOLICO;SAN JOSÉ;DOCTOR EN MEDICINA;12.54
CIRCULO CATOLICO;SAN JOSÉ;DOCTOR EN ODONTOLOGIA;0.16
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN CARDIOLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN CIRUGIA GENERAL;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.18
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN ENDOCRINOLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN GINECOTOCOLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN OFTALMOLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.23
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN PEDIATRIA;5.64
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN PSIQUIATRIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN REUMATOLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;ESPECIALISTA EN UROLOGIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;LICENCIADO EN FISIOTERAPIA;0.00
CIRCULO CATOLICO;SAN JOSÉ;LICENCIADO EN FONOAUDIOLOGIA;0.04
CIRCULO CATOLICO;SAN JOSÉ;LICENCIADO EN NUTRICION;0.00
CIRCULO CATOLICO;SAN JOSÉ;LICENCIADO EN PSICOLOGIA;0.04
CIRCULO CATOLICO;SORIANO;DOCTOR EN MEDICINA;21.58
CIRCULO CATOLICO;SORIANO;DOCTOR EN ODONTOLOGIA;0.04
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN ANESTESIOLOGIA;4.38
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN CARDIOLOGIA;0.51
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN CIRUGIA GENERAL;2.89
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.14
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN ENDOCRINOLOGIA;3.15
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN GASTROENTEROLOGIA;0.09
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN GINECOTOCOLOGIA;15.19
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN MEDICINA INTENSIVA;1.96
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN NEUROCIRUGIA;0.09
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN NEUROLOGIA;0.03
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN OFTALMOLOGIA;0.49
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.07
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.06
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN PEDIATRIA;23.86
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN PSIQUIATRIA;0.00
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.00
CIRCULO CATOLICO;SORIANO;ESPECIALISTA EN REUMATOLOGIA;0.11
CIRCULO CATOLICO;SORIANO;LICENCIADO EN FISIOTERAPIA;0.00
CIRCULO CATOLICO;SORIANO;LICENCIADO EN FONOAUDIOLOGIA;0.25
CIRCULO CATOLICO;SORIANO;LICENCIADO EN NUTRICION;1.42
CIRCULO CATOLICO;SORIANO;LICENCIADO EN PSICOLOGIA;1.12
CIRCULO CATOLICO;SORIANO;LICENCIADO EN TRABAJO SOCIAL;0.11
CIRCULO CATOLICO;SORIANO;OBSTETRA PARTERA;22.34
COMECA;CANELONES;DOCTOR EN MEDICINA;15.26
COMECA;CANELONES;ESPECIALISTA EN ALERGOLOGIA;0.06
COMECA;CANELONES;ESPECIALISTA EN ANESTESIOLOGIA;1.42
COMECA;CANELONES;ESPECIALISTA EN CARDIOLOGIA;0.93
COMECA;CANELONES;ESPECIALISTA EN CARDIOLOGIA PEDIATRICA;0.00
COMECA;CANELONES;ESPECIALISTA EN CIRUGIA DE TORAX;0.01
COMECA;CANELONES;ESPECIALISTA EN CIRUGIA GENERAL;1.23
COMECA;CANELONES;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;2.29
COMECA;CANELONES;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.49
COMECA;CANELONES;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.06
COMECA;CANELONES;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.26
COMECA;CANELONES;ESPECIALISTA EN ENDOCRINOLOGIA;0.18
COMECA;CANELONES;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.15
COMECA;CANELONES;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.03
COMECA;CANELONES;ESPECIALISTA EN FISIATRIA;0.06
COMECA;CANELONES;ESPECIALISTA EN GASTROENTEROLOGIA;0.26
COMECA;CANELONES;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.14
COMECA;CANELONES;ESPECIALISTA EN GINECOTOCOLOGIA;3.49
COMECA;CANELONES;ESPECIALISTA EN HEMATOLOGIA;0.04
COMECA;CANELONES;ESPECIALISTA EN MEDICINA INTENSIVA;2.41
COMECA;CANELONES;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;3.22
COMECA;CANELONES;ESPECIALISTA EN MEDICINA INTERNA;1.36
COMECA;CANELONES;ESPECIALISTA EN NEFROLOGIA;0.24
COMECA;CANELONES;ESPECIALISTA EN NEONATOLOGIA;127.49
COMECA;CANELONES;ESPECIALISTA EN NEUMOLOGIA;0.27
COMECA;CANELONES;ESPECIALISTA EN NEUMOLOGIA PEDIATRICA;0.01
COMECA;CANELONES;ESPECIALISTA EN NEUROCIRUGIA;0.04
COMECA;CANELONES;ESPECIALISTA EN NEUROLOGIA;0.54
COMECA;CANELONES;ESPECIALISTA EN NEUROPEDIATRIA;0.28
COMECA;CANELONES;ESPECIALISTA EN OFTALMOLOGIA;0.57
COMECA;CANELONES;ESPECIALISTA EN ONCOLOGIA MEDICA;0.07
COMECA;CANELONES;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.98
COMECA;CANELONES;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.50
COMECA;CANELONES;ESPECIALISTA EN PEDIATRIA;18.10
COMECA;CANELONES;ESPECIALISTA EN PSIQUIATRIA;0.79
COMECA;CANELONES;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.49
COMECA;CANELONES;ESPECIALISTA EN REUMATOLOGIA;0.05
COMECA;CANELONES;ESPECIALISTA EN UROLOGIA;0.73
COMECA;CANELONES;ESPECIALISTA EN UROLOGIA PEDIATRICA;0.06
COMECA;CANELONES;LICENCIADO EN FISIOTERAPIA;2.20
COMECA;CANELONES;LICENCIADO EN FONOAUDIOLOGIA;0.39
COMECA;CANELONES;LICENCIADO EN NUTRICION;1.66
COMECA;CANELONES;LICENCIADO EN PSICOLOGIA;1.73
COMECA;CANELONES;LICENCIADO EN TRABAJO SOCIAL;0.24
COMECA;CANELONES;OBSTETRA PARTERA;1.13
COMEF;FLORIDA;DOCTOR EN MEDICINA;18.85
COMEF;FLORIDA;ESPECIALISTA EN ANESTESIOLOGIA;0.43
COMEF;FLORIDA;ESPECIALISTA EN CARDIOLOGIA;1.24
COMEF;FLORIDA;ESPECIALISTA EN CIRUGIA GENERAL;0.80
COMEF;FLORIDA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.40
COMEF;FLORIDA;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.08
COMEF;FLORIDA;ESPECIALISTA EN CUIDADOS PALIATIVOS DEL ADULTO;1.13
COMEF;FLORIDA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.25
COMEF;FLORIDA;ESPECIALISTA EN DIABETOLOGIA;0.13
COMEF;FLORIDA;ESPECIALISTA EN ENDOCRINOLOGIA;0.07
COMEF;FLORIDA;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.38
COMEF;FLORIDA;ESPECIALISTA EN FISIATRIA;0.13
COMEF;FLORIDA;ESPECIALISTA EN GASTROENTEROLOGIA;0.55
COMEF;FLORIDA;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;1.36
COMEF;FLORIDA;ESPECIALISTA EN GINECOTOCOLOGIA;3.23
COMEF;FLORIDA;ESPECIALISTA EN HEMATOLOGIA;0.12
COMEF;FLORIDA;ESPECIALISTA EN MEDICINA INTENSIVA;1.92
COMEF;FLORIDA;ESPECIALISTA EN MEDICINA INTERNA;1.16
COMEF;FLORIDA;ESPECIALISTA EN NEFROLOGIA;0.40
COMEF;FLORIDA;ESPECIALISTA EN NEUMOLOGIA;0.03
COMEF;FLORIDA;ESPECIALISTA EN NEUROLOGIA;0.55
COMEF;FLORIDA;ESPECIALISTA EN NEUROPEDIATRIA;0.25
COMEF;FLORIDA;ESPECIALISTA EN OFTALMOLOGIA;0.22
COMEF;FLORIDA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.10
COMEF;FLORIDA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.78
COMEF;FLORIDA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.29
COMEF;FLORIDA;ESPECIALISTA EN PEDIATRIA;13.99
COMEF;FLORIDA;ESPECIALISTA EN PSIQUIATRIA;0.44
COMEF;FLORIDA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.88
COMEF;FLORIDA;ESPECIALISTA EN UROLOGIA;0.78
COMEF;FLORIDA;LICENCIADO EN NUTRICION;0.96
COMEF;FLORIDA;LICENCIADO EN PSICOLOGIA;1.22
COMEF;FLORIDA;LICENCIADO EN TRABAJO SOCIAL;0.58
COMEF;FLORIDA;OBSTETRA PARTERA;4.45
COMEFLO;FLORES;DOCTOR EN MEDICINA;8.73
COMEFLO;FLORES;ESPECIALISTA EN ALERGOLOGIA;0.03
COMEFLO;FLORES;ESPECIALISTA EN ANESTESIOLOGIA;0.96
COMEFLO;FLORES;ESPECIALISTA EN CARDIOLOGIA;1.37
COMEFLO;FLORES;ESPECIALISTA EN CIRUGIA GENERAL;1.94
COMEFLO;FLORES;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.19
COMEFLO;FLORES;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.04
COMEFLO;FLORES;ESPECIALISTA EN DIABETOLOGIA;0.52
COMEFLO;FLORES;ESPECIALISTA EN ENDOCRINOLOGIA;0.20
COMEFLO;FLORES;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.00
COMEFLO;FLORES;ESPECIALISTA EN FISIATRIA;0.14
COMEFLO;FLORES;ESPECIALISTA EN GASTROENTEROLOGIA;0.11
COMEFLO;FLORES;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;4.75
COMEFLO;FLORES;ESPECIALISTA EN GINECOTOCOLOGIA;5.23
COMEFLO;FLORES;ESPECIALISTA EN HEMATOLOGIA;0.03
COMEFLO;FLORES;ESPECIALISTA EN MEDICINA INTERNA;1.79
COMEFLO;FLORES;ESPECIALISTA EN NEFROLOGIA;1.27
COMEFLO;FLORES;ESPECIALISTA EN NEUROLOGIA;0.06
COMEFLO;FLORES;ESPECIALISTA EN NEUROPEDIATRIA;0.19
COMEFLO;FLORES;ESPECIALISTA EN OFTALMOLOGIA;0.54
COMEFLO;FLORES;ESPECIALISTA EN ONCOLOGIA MEDICA;0.13
COMEFLO;FLORES;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;1.31
COMEFLO;FLORES;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.21
COMEFLO;FLORES;ESPECIALISTA EN PEDIATRIA;9.78
COMEFLO;FLORES;ESPECIALISTA EN PSIQUIATRIA;0.91
COMEFLO;FLORES;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.53
COMEFLO;FLORES;ESPECIALISTA EN REUMATOLOGIA;0.01
COMEFLO;FLORES;ESPECIALISTA EN UROLOGIA;0.30
COMEFLO;FLORES;LICENCIADO EN FISIOTERAPIA;1.50
COMEFLO;FLORES;LICENCIADO EN FONOAUDIOLOGIA;0.00
COMEFLO;FLORES;LICENCIADO EN NUTRICION;0.96
COMEFLO;FLORES;LICENCIADO EN PSICOLOGIA;0.50
COMEFLO;FLORES;LICENCIADO EN TRABAJO SOCIAL;0.03
COMEFLO;FLORES;OBSTETRA PARTERA;2.54
COMEPA;PAYSANDÚ;DOCTOR EN MEDICINA;7.91
COMEPA;PAYSANDÚ;DOCTOR EN ODONTOLOGIA;0.45
COMEPA;PAYSANDÚ;ESPECIALISTA EN ALERGOLOGIA;0.08
COMEPA;PAYSANDÚ;ESPECIALISTA EN ANESTESIOLOGIA;1.38
COMEPA;PAYSANDÚ;ESPECIALISTA EN CARDIOLOGIA;1.11
COMEPA;PAYSANDÚ;ESPECIALISTA EN CIRUGIA DE TORAX;0.03
COMEPA;PAYSANDÚ;ESPECIALISTA EN CIRUGIA GENERAL;1.30
COMEPA;PAYSANDÚ;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.49
COMEPA;PAYSANDÚ;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.33
COMEPA;PAYSANDÚ;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.00
COMEPA;PAYSANDÚ;ESPECIALISTA EN CUIDADOS PALIATIVOS DEL ADULTO;0.39
COMEPA;PAYSANDÚ;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.29
COMEPA;PAYSANDÚ;ESPECIALISTA EN ENDOCRINOLOGIA;0.40
COMEPA;PAYSANDÚ;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.09
COMEPA;PAYSANDÚ;ESPECIALISTA EN FISIATRIA;0.24
COMEPA;PAYSANDÚ;ESPECIALISTA EN GASTROENTEROLOGIA;0.63
COMEPA;PAYSANDÚ;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.49
COMEPA;PAYSANDÚ;ESPECIALISTA EN GINECOTOCOLOGIA;4.58
COMEPA;PAYSANDÚ;ESPECIALISTA EN HEMATOLOGIA;0.33
COMEPA;PAYSANDÚ;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.65
COMEPA;PAYSANDÚ;ESPECIALISTA EN MEDICINA INTENSIVA;2.44
COMEPA;PAYSANDÚ;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;8.33
COMEPA;PAYSANDÚ;ESPECIALISTA EN MEDICINA INTERNA;2.23
COMEPA;PAYSANDÚ;ESPECIALISTA EN NEFROLOGIA;0.87
COMEPA;PAYSANDÚ;ESPECIALISTA EN NEUMOLOGIA;0.13
COMEPA;PAYSANDÚ;ESPECIALISTA EN NEUROCIRUGIA;0.03
COMEPA;PAYSANDÚ;ESPECIALISTA EN NEUROLOGIA;0.58
COMEPA;PAYSANDÚ;ESPECIALISTA EN NEUROPEDIATRIA;0.29
COMEPA;PAYSANDÚ;ESPECIALISTA EN OFTALMOLOGIA;0.41
COMEPA;PAYSANDÚ;ESPECIALISTA EN ONCOLOGIA MEDICA;0.23
COMEPA;PAYSANDÚ;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.61
COMEPA;PAYSANDÚ;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.47
COMEPA;PAYSANDÚ;ESPECIALISTA EN PEDIATRIA;17.63
COMEPA;PAYSANDÚ;ESPECIALISTA EN PSIQUIATRIA;0.71
COMEPA;PAYSANDÚ;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.91
COMEPA;PAYSANDÚ;ESPECIALISTA EN REUMATOLOGIA;0.20
COMEPA;PAYSANDÚ;ESPECIALISTA EN UROLOGIA;0.76
COMEPA;PAYSANDÚ;ESPECIALISTA EN UROLOGIA PEDIATRICA;0.11
COMEPA;PAYSANDÚ;LICENCIADO EN FISIOTERAPIA;4.28
COMEPA;PAYSANDÚ;LICENCIADO EN FONOAUDIOLOGIA;0.54
COMEPA;PAYSANDÚ;LICENCIADO EN NUTRICION;2.09
COMEPA;PAYSANDÚ;LICENCIADO EN PSICOLOGIA;0.70
COMEPA;PAYSANDÚ;LICENCIADO EN PSICOMOTRICIDAD;0.12
COMEPA;PAYSANDÚ;LICENCIADO EN TRABAJO SOCIAL;0.16
COMEPA;PAYSANDÚ;OBSTETRA PARTERA;2.89
COMERI;ARTIGAS;ESPECIALISTA EN OFTALMOLOGIA;0.08
COMERI;RIVERA;DOCTOR EN MEDICINA;13.84
COMERI;RIVERA;DOCTOR EN ODONTOLOGIA;0.43
COMERI;RIVERA;ESPECIALISTA EN ALERGOLOGIA;0.00
COMERI;RIVERA;ESPECIALISTA EN ANESTESIOLOGIA;1.03
COMERI;RIVERA;ESPECIALISTA EN CARDIOLOGIA;1.53
COMERI;RIVERA;ESPECIALISTA EN CIRUGIA GENERAL;0.77
COMERI;RIVERA;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.02
COMERI;RIVERA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.76
COMERI;RIVERA;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.70
COMERI;RIVERA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.08
COMERI;RIVERA;ESPECIALISTA EN DIABETOLOGIA;0.08
COMERI;RIVERA;ESPECIALISTA EN ENDOCRINOLOGIA;0.14
COMERI;RIVERA;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.01
COMERI;RIVERA;ESPECIALISTA EN FISIATRIA;0.07
COMERI;RIVERA;ESPECIALISTA EN GASTROENTEROLOGIA;0.06
COMERI;RIVERA;ESPECIALISTA EN GINECOTOCOLOGIA;2.99
COMERI;RIVERA;ESPECIALISTA EN HEMATOLOGIA;0.63
COMERI;RIVERA;ESPECIALISTA EN MEDICINA INTENSIVA;3.69
COMERI;RIVERA;ESPECIALISTA EN MEDICINA INTERNA;1.06
COMERI;RIVERA;ESPECIALISTA EN NEFROLOGIA;0.82
COMERI;RIVERA;ESPECIALISTA EN NEUMOLOGIA;0.08
COMERI;RIVERA;ESPECIALISTA EN NEUROCIRUGIA;0.01
COMERI;RIVERA;ESPECIALISTA EN NEUROLOGIA;0.94
COMERI;RIVERA;ESPECIALISTA EN NEUROPEDIATRIA;0.03
COMERI;RIVERA;ESPECIALISTA EN OFTALMOLOGIA;0.95
COMERI;RIVERA;ESPECIALISTA EN ONCOLOGIA MEDICA;0.07
COMERI;RIVERA;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.69
COMERI;RIVERA;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.98
COMERI;RIVERA;ESPECIALISTA EN PEDIATRIA;23.42
COMERI;RIVERA;ESPECIALISTA EN PSIQUIATRIA;0.97
COMERI;RIVERA;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.13
COMERI;RIVERA;ESPECIALISTA EN REUMATOLOGIA;0.07
COMERI;RIVERA;ESPECIALISTA EN UROLOGIA;1.04
COMERI;RIVERA;LICENCIADO EN NUTRICION;1.47
COMERI;RIVERA;LICENCIADO EN PSICOLOGIA;0.44
COMERI;RIVERA;LICENCIADO EN TRABAJO SOCIAL;0.66
COMERI;RIVERA;OBSTETRA PARTERA;10.09
COMERO;ROCHA;DOCTOR EN MEDICINA;13.64
COMERO;ROCHA;DOCTOR EN ODONTOLOGIA;0.43
COMERO;ROCHA;ESPECIALISTA EN ANESTESIOLOGIA;0.36
COMERO;ROCHA;ESPECIALISTA EN CARDIOLOGIA;1.15
COMERO;ROCHA;ESPECIALISTA EN CARDIOLOGIA PEDIATRICA;0.00
COMERO;ROCHA;ESPECIALISTA EN CIRUGIA DE TORAX;0.00
COMERO;ROCHA;ESPECIALISTA EN CIRUGIA GENERAL;1.26
COMERO;ROCHA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.14
COMERO;ROCHA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.08
